nuts3_code,living_lab,Population (total),Population under 6 yrs,Population 65+ yrs,Foreign nationals,Births,Deaths,In-migration,Out-migration,In-commuters,Out-commuters,Population density (per km2),GDP per capita (EUR),GVA share: agriculture (%),Disposable household income per capita (EUR),Unemployment rate (%),Youth unemployment rate 15-25 (%),Total area (ha),Agricultural area (ha),Forest area (ha),Water area (ha),Cropland (ha),Permanent grassland (ha),Vineyard area (ha),Orchard area (ha),Settlement & transport area (ha),Agriculture share of total area (%),Number of farms,Utilised agricultural area - UAA (ha),Average farm size (ha),Organic farms (count),Organic farming area (ha),Organic share of UAA (%),Owner-farmed UAA (ha),Rented UAA (ha),Share of UAA rented (%),Farm labour (FTE),Farms < 5 ha (count),Farms >= 100 ha (count),Cereals area (ha),Oilseed area (ha),Legumes area (ha),Root crops area (ha),Fodder grass area (ha),Vegetables area (ha),Total livestock (GVE / livestock units),Livestock density (GVE per ha UAA),Cattle headcount,Dairy cows,Pigs headcount,Poultry headcount,N surplus (kg per ha UAA),P surplus (kg per ha UAA),Pesticide active substance (kg per ha),Irrigated area (ha),Irrigation water use (m3),Forest area - detail (ha),Public forest (ha),Private forest (ha),Natura 2000 area (ha),Nature reserves (ha),Landscape protection zones (ha),Agricultural CH4 emissions (kt CO2eq),Agricultural N2O emissions (kt CO2eq),Groundwater nitrate concentration (mg/l),"Groundwater abstraction, non-public supply (1000 m3)",Agricultural land price (EUR/ha),Average farm rent (EUR/ha),Sealed/impervious surface (% of total area)
[key],[key],population_total,pop_age_under6,pop_age_65plus,pop_foreign,births,deaths,migration_in,migration_out,commuters_in,commuters_out,population_density_per_km2,gdp_per_capita_eur,gva_agriculture_pct,household_income_eur,unemployment_rate_pct,unemployment_youth_pct,area_total_ha,area_agriculture_ha,area_forest_ha,area_water_ha,land_area_cropland_ha,area_grassland_ha,area_vineyard_ha,area_orchard_ha,area_settlement_transport_ha,agriculture_pct,farms_count,farms_uaa_ha,farm_avg_size_ha,farms_organic_count,farms_organic_ha,organic_pct,uaa_owned_ha,uaa_rented_ha,tenancy_rented_pct,farm_labour_fte,farms_lt5ha,farms_gt100ha,crop_cereals_ha,crop_oilseed_ha,crop_legumes_ha,crop_root_ha,crop_fodder_grass_ha,crop_vegetables_ha,livestock_gve_total,livestock_gve_per_ha,livestock_cattle_head,livestock_dairy_cows,livestock_pigs_head,livestock_poultry_head,n_surplus_kg_ha,p_surplus_kg_ha,pesticide_kg_ha,irrigation_area_ha,irrigation_water_m3,forest_area_ha,forest_public_ha,forest_private_ha,natura2000_ha,nature_reserves_ha,landscape_protection_ha,agr_ch4_kt,agr_n2o_kt,groundwater_nitrate_mg_l,groundwater_abstraction_1000m3,land_price_eur_ha,farm_rent_eur_ha,sealed_surface_pct
DE408,havelland,169721.0,,,,,,,,,,,25724.0,,26615.0,6.7,,172731.0,,,,58936.0,,,,18927.0,,355.0,89454.0,252.0,,12587.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,44150.0,,,,,,,,,956.0,,,11.0
DE409,east-brandenburg,197785.0,,,,,,,,,,,27412.0,,26673.0,5.9,,215865.0,,,,115236.0,,,,24805.0,,469.0,124915.0,266.3,,9837.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,50282.0,,,,,,,,,12927.0,,,11.5
DE40A,east-brandenburg,217290.0,,,,,,,,,,,30996.0,,27966.0,5.3,,180819.0,,,,45078.0,,,,19338.0,,400.0,67573.0,168.9,,10014.0,14.8,,,,,,,,,,,,,,,,,,,,,,,,73189.0,,,,,,,,,1204.0,,,10.7
DE40B,east-brandenburg,108434.0,,,,,,,,,,,35897.0,,25139.0,7.2,,122348.0,,,,29434.0,,,,17633.0,,189.0,37456.0,198.2,,7339.0,19.6,,,,,,,,,,,,,,,,,,,,,,,,47643.0,,,,,,,,,3496.0,,,14.4
DE40C,east-brandenburg,180499.0,,,,,,,,,,,41044.0,,26329.0,6.6,,225676.0,,,,63248.0,,,,22832.0,,316.0,78802.0,249.4,,11002.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,107786.0,,,,,,,,,3029.0,,,10.1
DE71D,rheingau,186050.0,,,,,,,,,,,28672.0,,31202.0,5.1,,81140.0,,,,11272.0,,,,11019.0,,601.0,20105.0,33.5,,2189.0,10.9,,,,,,,,,,,,,,,,,,,,,,,,43842.0,,,,,,,,,74.0,,,13.6
DE721,hessian-low-mountain,268141.0,,,,,,,,,,,43303.0,,25443.0,6.2,,85456.0,,,,22631.0,,,,15620.0,,562.0,34728.0,61.8,,6941.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,29643.0,,,,,,,,,849.0,,,18.3
DE722,hessian-low-mountain,254444.0,,,,,,,,,,,41961.0,,26820.0,6.0,,106630.0,,,,8261.0,,,,18030.0,,539.0,25408.0,47.1,,10586.0,41.7,,,,,,,,,,,,,,,,,,,,,,,,51573.0,,,,,,,,,644.0,,,16.9
DE723,hessian-low-mountain,174281.0,,,,,,,,,,,36667.0,,27666.0,5.5,,73844.0,,,,21464.0,,,,13243.0,,546.0,32130.0,58.8,,3852.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,25045.0,,,,,,,,,370.0,,,17.9
DE724,hessian-low-mountain,243093.0,,,,,,,,,,,47110.0,,25997.0,4.7,,126237.0,,,,29664.0,,,,18059.0,,1106.0,49003.0,44.3,,10355.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,51631.0,,,,,,,,,279.0,,,14.3
DE725,hessian-low-mountain,101494.0,,,,,,,,,,,33799.0,,26952.0,4.3,,145891.0,,,,31195.0,,,,15530.0,,1079.0,64264.0,59.6,,15707.0,24.4,,,,,,,,,,,,,,,,,,,,,,,,56621.0,,,,,,,,,102.0,,,10.6
DE734,north-hessian-loess,230742.0,,,,,,,,,,,37149.0,,27314.0,4.7,,129331.0,,,,38309.0,,,,18704.0,,849.0,50326.0,59.3,,5821.0,11.6,,,,,,,,,,,,,,,,,,,,,,,,51069.0,,,,,,,,,3281.0,,,14.5
DE737,north-hessian-loess,98055.0,,,,,,,,,,,35197.0,,25598.0,5.4,,102483.0,,,,24371.0,,,,12027.0,,644.0,38317.0,59.5,,5401.0,14.1,,,,,,,,,,,,,,,,,,,,,,,,43604.0,,,,,,,,,742.0,,,11.7
