* Der Benutzer DE80CY1631 der Benutzergruppe DEGROUP hat am 24.07.2026 um 15:41:02 diesen Export angestossen.
K;DQ;FACH-SCHL;"nur Werte"
D;41243BJ001
K;DQ-ERH;FACH-SCHL
D;41243
K;DQA;NAME
D;DINSG
D;OBSTA1
K;DQZ;NAME
D;JAHR
K;DQI;NAME;ME-NAME;DST;TYP;NKM-STELLEN
D;FLC016;ha;GANZ;FALL;0
D;ERN001;dt;GANZ;FALL;0
K;QEI;FACH-SCHL;FACH-SCHL;ZI-WERT;WERT;QUALITAET
D;DG;OBST02;2018;33978;e;11985165;e
D;DG;OBST02;2019;33966;e;9914512;e
D;DG;OBST02;2020;33905;e;10233159;e
D;DG;OBST02;2021;33624;e;10046246;e
D;DG;OBST02;2022;33106;e;10709783;e
D;DG;OBST02;2023;33015;e;9412122;e
D;DG;OBST03;2018;2149;e;476436;e
D;DG;OBST03;2019;2145;e;424774;e
D;DG;OBST03;2020;2140;e;392704;e
D;DG;OBST03;2021;2080;e;371598;e
D;DG;OBST03;2022;2069;e;363186;e
D;DG;OBST03;2023;2069;e;377908;e
D;DG;OBST051;2018;6026;e;442229;e
D;DG;OBST051;2019;6054;e;445519;e
D;DG;OBST051;2020;6019;e;367967;e
D;DG;OBST051;2021;6019;e;273431;e
D;DG;OBST051;2022;5736;e;384714;e
D;DG;OBST051;2023;5686;e;323502;e
D;DG;OBST052;2018;1915;e;159023;e
D;DG;OBST052;2019;1886;e;157195;e
D;DG;OBST052;2020;1870;e;131922;e
D;DG;OBST052;2021;1795;e;110328;e
D;DG;OBST052;2022;1567;e;101870;e
D;DG;OBST052;2023;1533;e;78059;e
D;DG;OBST061;2018;4188;e;612288;e
D;DG;OBST061;2019;4196;e;468732;e
D;DG;OBST061;2020;4207;e;465499;e
D;DG;OBST061;2021;4215;e;398951;e
D;DG;OBST061;2022;4139;e;468480;e
D;DG;OBST061;2023;4121;e;438021;e
D;DG;OBST062;2018;635;e;88917;e
D;DG;OBST062;2019;634;e;52684;e
D;DG;OBST062;2020;633;e;47678;e
D;DG;OBST062;2021;632;e;45649;e
D;DG;OBST062;2022;653;e;45253;e
D;DG;OBST062;2023;650;e;58300;e
