theme,indicator_key,label,genesis_table,DE408,DE409,DE40A,DE40B,DE40C,DE71D,DE721,DE722,DE723,DE724,DE725,DE734,DE737,LL: east-brandenburg,LL: havelland,LL: north-hessian-loess,LL: hessian-low-mountain,LL: rheingau,include_yn,notes
Demography,population_total,Population (total),derived,169721.0,197785.0,217290.0,108434.0,180499.0,186050.0,268141.0,254444.0,174281.0,243093.0,101494.0,230742.0,98055.0,704008.0,169721.0,328797.0,1041453.0,186050.0,,
Demography,pop_age_under6,Population under 6 yrs,derived,,,,,,,,,,,,,,,,,,,,
Demography,pop_age_65plus,Population 65+ yrs,derived,,,,,,,,,,,,,,,,,,,,
Demography,pop_foreign,Foreign nationals,12411KJ007,,,,,,,,,,,,,,,,,,,,
Demography,births,Births,derived,,,,,,,,,,,,,,,,,,,,
Demography,deaths,Deaths,derived,,,,,,,,,,,,,,,,,,,,
Demography,migration_in,In-migration,derived,,,,,,,,,,,,,,,,,,,,
Demography,migration_out,Out-migration,derived,,,,,,,,,,,,,,,,,,,,
Demography,commuters_in,In-commuters,derived,,,,,,,,,,,,,,,,,,,,
Demography,commuters_out,Out-commuters,derived,,,,,,,,,,,,,,,,,,,,
Demography,population_density_per_km2,Population density (per km2),derived,,,,,,,,,,,,,,94.5,98.3,141.8,193.6,229.3,,
Economy,gdp_per_capita_eur,GDP per capita (EUR),derived,25724.0,27412.0,30996.0,35897.0,41044.0,28672.0,43303.0,41961.0,36667.0,47110.0,33799.0,37149.0,35197.0,33837.25,25724.0,36173.0,40568.0,28672.0,,
Economy,gva_agriculture_pct,GVA share: agriculture (%),derived,,,,,,,,,,,,,,,,,,,,
Economy,household_income_eur,Disposable household income per capita (EUR),derived,26615.0,26673.0,27966.0,25139.0,26329.0,31202.0,25443.0,26820.0,27666.0,25997.0,26952.0,27314.0,25598.0,26526.75,26615.0,26456.0,26575.6,31202.0,,
Economy,unemployment_rate_pct,Unemployment rate (%),derived,6.7,5.9,5.3,7.2,6.6,5.1,6.2,6.0,5.5,4.7,4.3,4.7,5.4,6.25,6.7,5.05,5.34,5.1,,
Economy,unemployment_youth_pct,Youth unemployment rate 15-25 (%),derived,,,,,,,,,,,,,,,,,,,,
Land use,area_total_ha,Total area (ha),derived,172731.0,215865.0,180819.0,122348.0,225676.0,81140.0,85456.0,106630.0,73844.0,126237.0,145891.0,129331.0,102483.0,744708.0,172731.0,231814.0,538058.0,81140.0,,
Land use,area_agriculture_ha,Agricultural area (ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,area_forest_ha,Forest area (ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,area_water_ha,Water area (ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,land_area_cropland_ha,Cropland (ha),derived,58936.0,115236.0,45078.0,29434.0,63248.0,11272.0,22631.0,8261.0,21464.0,29664.0,31195.0,38309.0,24371.0,252996.0,58936.0,62680.0,113215.0,11272.0,,
Land use,area_grassland_ha,Permanent grassland (ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,area_vineyard_ha,Vineyard area (ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,area_orchard_ha,Orchard area (ha),derived,,,,,,,,,,,,,,,,,,,,
Land use,area_settlement_transport_ha,Settlement & transport area (ha),derived,18927.0,24805.0,19338.0,17633.0,22832.0,11019.0,15620.0,18030.0,13243.0,18059.0,15530.0,18704.0,12027.0,84608.0,18927.0,30731.0,80482.0,11019.0,,
Land use,agriculture_pct,Agriculture share of total area (%),derived,,,,,,,,,,,,,,,,,,,,
Farms,farms_count,Number of farms,derived,355.0,469.0,400.0,189.0,316.0,601.0,562.0,539.0,546.0,1106.0,1079.0,849.0,644.0,1374.0,355.0,1493.0,3832.0,601.0,,
Farms,farms_uaa_ha,Utilised agricultural area - UAA (ha),derived,89454.0,124915.0,67573.0,37456.0,78802.0,20105.0,34728.0,25408.0,32130.0,49003.0,64264.0,50326.0,38317.0,308746.0,89454.0,88643.0,205533.0,20105.0,,
Farms,farm_avg_size_ha,Average farm size (ha),derived,252.0,266.3,168.9,198.2,249.4,33.5,61.8,47.1,58.8,44.3,59.6,59.3,59.5,220.7,252.0,59.4,54.32,33.5,,
Farms,farms_organic_count,Organic farms (count),derived,,,,,,,,,,,,,,,,,,,,
Farms,farms_organic_ha,Organic farming area (ha),derived,12587.0,9837.0,10014.0,7339.0,11002.0,2189.0,6941.0,10586.0,3852.0,10355.0,15707.0,5821.0,5401.0,38192.0,12587.0,11222.0,47441.0,2189.0,,
Farms,organic_pct,Organic share of UAA (%),derived,14.1,7.9,14.8,19.6,14.0,10.9,20.0,41.7,12.0,21.1,24.4,11.6,14.1,12.4,14.1,12.7,23.1,10.9,,
Farms,uaa_owned_ha,Owner-farmed UAA (ha),derived,,,,,,,,,,,,,,,,,,,,
Farms,uaa_rented_ha,Rented UAA (ha),derived,,,,,,,,,,,,,,,,,,,,
