source_id,source_group,source_name,layer_or_variable,already_integrated,spatial_coverage,temporal_coverage,access_method,access_url,format,license,update_cadence,citation_url,(AI) ll_relevance,(AI) pipeline_path,(AI) integration_complexity,(AI) integration_notes,decision,priority,rationale,reviewer_comments
agraratlas_wcs,Agricultural Statistics,Agraratlas Statistikportal,LL-relevant WCS coverages,no,,,WCS,https://www.wcs.nrw.de/stba/agraratlas?REQUEST=getCapabilities&SERVICE=WCS&VERSION=1.0.0,,,,https://www.wcs.nrw.de/stba/agraratlas?REQUEST=getCapabilities&SERVICE=WCS&VERSION=1.0.0,,,,,,,,
destatis_genesis,Agricultural Statistics,DESTATIS GENESIS,NUTS-3 statistical variables,in-progress,"Germany, administrative statistics",varies by GENESIS table,REST-item,https://www-genesis.destatis.de/datenbank/online,JSON/CSV via GENESIS API,API terms; token required,varies by table,https://www-genesis.destatis.de/datenbank/online,All 5 LLs via NUTS-3 statistics,tabular,Medium,Pipeline is in progress; auth token must never be committed.,include,,,
degree_urbanisation,Demographics / Settlement,GHSL Degree of Urbanisation,Degree of Urbanisation classification,no,,,manual-download,https://ghsl.jrc.ec.europa.eu/download.php,,,,https://ghsl.jrc.ec.europa.eu/download.php,,,,,,,,
dwd_cdc_daily_precipitation,Climate,DWD Climate Data Center,Daily precipitation station data,no,,,FTP,https://opendata.dwd.de/climate_environment/CDC/,,,,https://opendata.dwd.de/climate_environment/CDC/Readme_intro_CDC_ftp.txt,,,,,,,,
dwd_cdc_daily_temperature,Climate,DWD Climate Data Center,Daily temperature station data,no,,,FTP,https://opendata.dwd.de/climate_environment/CDC/,,,,https://opendata.dwd.de/climate_environment/CDC/Readme_intro_CDC_ftp.txt,,,,,,,,
dwd_cdc_gridded_precipitation,Climate,DWD Climate Data Center,HYRAS gridded precipitation,no,,,FTP,https://opendata.dwd.de/climate_environment/CDC/,,,,https://opendata.dwd.de/climate_environment/CDC/Readme_intro_CDC_ftp.txt,,,,,,,,
buek250_soil,Existing Integrations,BUEK250 Soil,BUEK250 soil polygons,yes,Germany,static federal soil map,manual-download,https://www.bgr.bund.de/DE/Themen/Boden/Informationsgrundlagen/Bodenkundliche_Karten_Datenbanken/BUEK250/buek250_node.html,GeoPackage/GeoJSON,GeoNutzV/DL-DE-BY style terms,static,https://www.bgr.bund.de/DE/Themen/Boden/Informationsgrundlagen/Bodenkundliche_Karten_Datenbanken/BUEK250/buek250_node.html,All 5 LLs,vector,Low,Already integrated as committed GeoJSON fixtures and runtime copies.,include,,,
dlr_croptypes,Existing Integrations,DLR Croptypes Germany,CROPTYPES_DE_P1Y,yes,Germany,annual crop type product,OGC-download,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/CROPTYPES_DE_P1Y?f=text/html,COG/STAC,DLR open data terms,annual,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/CROPTYPES_DE_P1Y?f=text/html,All 5 LLs,raster,Low,Already integrated through the raster PMTiles path.,include,,,
inspire_geoportal_iacs,INSPIRE / Discovery,INSPIRE Geoportal,Targeted IACS/InVeKoS discovery query,no,,,manual-download,https://inspire-geoportal.ec.europa.eu/srv/eng/catalog.search#/home,,,,https://inspire-geoportal.ec.europa.eu/srv/eng/catalog.search#/home,,,,,,,,
europe_land_iacs,IACS / InVeKoS,Europe-LAND Harmonized IACS Inventory,European GSA/IACS harmonized inventory,no,,,Zenodo,https://zenodo.org/records/18670815,,,,https://zenodo.org/records/18670815,,,,,,,,
